time temperature C O Mg Si CO C2 O2 C_{grain} Si_{grain}
2.681910e+06 6.966736e+04 3.077777e+51 2.874203e+52 1.361909e+51 2.469380e+51 9.828052e+45 5.242873e+44 2.026440e+49 0.000000e+00 0.000000e+00 
2.682120e+06 6.966384e+04 3.077764e+51 2.869335e+52 1.361909e+51 2.469380e+51 2.169999e+46 1.121920e+45 4.460214e+49 0.000000e+00 0.000000e+00 
2.682330e+06 6.966031e+04 3.077751e+51 2.864483e+52 1.361909e+51 2.469380e+51 3.356603e+46 1.721230e+45 6.885434e+49 0.000000e+00 0.000000e+00 
2.682541e+06 6.965678e+04 3.077738e+51 2.859649e+52 1.361909e+51 2.469380e+51 4.542411e+46 2.322119e+45 9.301724e+49 0.000000e+00 0.000000e+00 
2.682752e+06 6.965323e+04 3.077725e+51 2.854816e+52 1.361909e+51 2.469380e+51 5.731730e+46 2.926737e+45 1.171786e+50 0.000000e+00 0.000000e+00 
2.682962e+06 6.964969e+04 3.077712e+51 2.850003e+52 1.361909e+51 2.469380e+51 6.919427e+46 3.532533e+45 1.412343e+50 0.000000e+00 0.000000e+00 
2.683174e+06 6.964614e+04 3.077699e+51 2.845192e+52 1.361909e+51 2.469380e+51 8.110594e+46 4.142080e+45 1.652877e+50 0.000000e+00 0.000000e+00 
2.683386e+06 6.964258e+04 3.077686e+51 2.840384e+52 1.361909e+51 2.469380e+51 9.304207e+46 4.754864e+45 1.893177e+50 0.000000e+00 0.000000e+00 
2.683599e+06 6.963901e+04 3.077673e+51 2.835591e+52 1.361909e+51 2.469380e+51 1.049801e+47 5.369760e+45 2.132792e+50 0.000000e+00 0.000000e+00 
2.683812e+06 6.963543e+04 3.077659e+51 2.830802e+52 1.361909e+51 2.469380e+51 1.169428e+47 5.987914e+45 2.372177e+50 0.000000e+00 0.000000e+00 
2.684026e+06 6.963184e+04 3.077646e+51 2.826021e+52 1.361909e+51 2.469380e+51 1.289214e+47 6.608901e+45 2.611158e+50 0.000000e+00 0.000000e+00 
2.684240e+06 6.962825e+04 3.077633e+51 2.821248e+52 1.361909e+51 2.469380e+51 1.409173e+47 7.232781e+45 2.849761e+50 0.000000e+00 0.000000e+00 
2.684454e+06 6.962466e+04 3.077620e+51 2.816493e+52 1.361909e+51 2.469380e+51 1.529031e+47 7.858223e+45 3.087447e+50 0.000000e+00 0.000000e+00 
2.684669e+06 6.962105e+04 3.077606e+51 2.811735e+52 1.361909e+51 2.469380e+51 1.649320e+47 8.487852e+45 3.325265e+50 0.000000e+00 0.000000e+00 
2.684884e+06 6.961744e+04 3.077593e+51 2.806995e+52 1.361909e+51 2.469380e+51 1.769543e+47 9.119243e+45 3.562240e+50 0.000000e+00 0.000000e+00 
2.685099e+06 6.961382e+04 3.077580e+51 2.802266e+52 1.361909e+51 2.469380e+51 1.889822e+47 9.752977e+45 3.798610e+50 0.000000e+00 0.000000e+00 
2.685315e+06 6.961019e+04 3.077566e+51 2.797535e+52 1.361909e+51 2.469380e+51 2.010535e+47 1.039095e+46 4.035117e+50 0.000000e+00 0.000000e+00 
2.685531e+06 6.960656e+04 3.077553e+51 2.792826e+52 1.361909e+51 2.469380e+51 2.131025e+47 1.102991e+46 4.270479e+50 0.000000e+00 0.000000e+00 
2.685749e+06 6.960292e+04 3.077540e+51 2.788110e+52 1.361909e+51 2.469380e+51 2.252089e+47 1.167382e+46 4.506244e+50 0.000000e+00 0.000000e+00 
2.685965e+06 6.959928e+04 3.077526e+51 2.783421e+52 1.361909e+51 2.469380e+51 2.372804e+47 1.231811e+46 4.740626e+50 0.000000e+00 0.000000e+00 
2.686183e+06 6.959562e+04 3.077513e+51 2.778727e+52 1.361909e+51 2.469380e+51 2.494004e+47 1.296694e+46 4.975241e+50 0.000000e+00 0.000000e+00 
2.686401e+06 6.959196e+04 3.077499e+51 2.774051e+52 1.361909e+51 2.469380e+51 2.615124e+47 1.361745e+46 5.208993e+50 0.000000e+00 0.000000e+00 
2.686620e+06 6.958829e+04 3.077486e+51 2.769372e+52 1.361909e+51 2.469380e+51 2.736680e+47 1.427232e+46 5.442881e+50 0.000000e+00 0.000000e+00 
2.686839e+06 6.958461e+04 3.077473e+51 2.764707e+52 1.361909e+51 2.469380e+51 2.858235e+47 1.492930e+46 5.676060e+50 0.000000e+00 0.000000e+00 
2.687058e+06 6.958093e+04 3.077459e+51 2.760056e+52 1.361909e+51 2.469380e+51 2.979812e+47 1.558853e+46 5.908582e+50 0.000000e+00 0.000000e+00 
