time temperature C O Mg Si CO C2 O2 c_grain si_grain 
8.365623e+06 1.999468e+03 1.784915e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 2.261057e+44 0.000000e+00 
8.365623e+06 1.999468e+03 1.784912e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 5.401839e+44 0.000000e+00 
8.365623e+06 1.999468e+03 1.784909e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 8.327557e+44 0.000000e+00 
8.365623e+06 1.999468e+03 1.784906e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 1.138483e+45 0.000000e+00 
8.365623e+06 1.999468e+03 1.784903e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 1.382496e+45 0.000000e+00 
8.365624e+06 1.999467e+03 1.784900e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 1.767438e+45 0.000000e+00 
8.365624e+06 1.999467e+03 1.784896e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 2.108867e+45 0.000000e+00 
8.365624e+06 1.999467e+03 1.784894e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 2.357401e+45 0.000000e+00 
8.365625e+06 1.999467e+03 1.784888e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 2.908178e+45 0.000000e+00 
8.365625e+06 1.999467e+03 1.784885e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 3.203127e+45 0.000000e+00 
8.365625e+06 1.999467e+03 1.784881e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 3.670074e+45 0.000000e+00 
8.365625e+06 1.999467e+03 1.784877e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 4.076885e+45 0.000000e+00 
8.365626e+06 1.999467e+03 1.784871e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 4.611382e+45 0.000000e+00 
8.365626e+06 1.999467e+03 1.784867e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 5.012878e+45 0.000000e+00 
8.365626e+06 1.999466e+03 1.784863e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757487e+42 1.685350e+43 5.382276e+45 0.000000e+00 
8.365627e+06 1.999466e+03 1.784859e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757488e+42 1.685350e+43 5.815762e+45 0.000000e+00 
8.365627e+06 1.999466e+03 1.784855e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757488e+42 1.685350e+43 6.271214e+45 0.000000e+00 
8.365627e+06 1.999466e+03 1.784851e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854784e+41 7.757488e+42 1.685350e+43 6.627463e+45 0.000000e+00 
8.365628e+06 1.999466e+03 1.784847e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 7.039737e+45 0.000000e+00 
8.365628e+06 1.999466e+03 1.784843e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 7.382558e+45 0.000000e+00 
8.365628e+06 1.999466e+03 1.784840e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 7.722482e+45 0.000000e+00 
8.365629e+06 1.999466e+03 1.784836e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 8.121033e+45 0.000000e+00 
8.365629e+06 1.999465e+03 1.784831e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 8.642327e+45 0.000000e+00 
8.365629e+06 1.999465e+03 1.784828e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 8.959507e+45 0.000000e+00 
8.365630e+06 1.999465e+03 1.784823e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 9.425523e+45 0.000000e+00 
8.365630e+06 1.999465e+03 1.784819e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 9.850498e+45 0.000000e+00 
8.365630e+06 1.999465e+03 1.784816e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 1.014218e+46 0.000000e+00 
8.365630e+06 1.999465e+03 1.784811e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 1.066945e+46 0.000000e+00 
8.365631e+06 1.999465e+03 1.784807e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 1.108120e+46 0.000000e+00 
8.365631e+06 1.999465e+03 1.784803e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 1.147155e+46 0.000000e+00 
8.365631e+06 1.999465e+03 1.784798e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 1.188841e+46 0.000000e+00 
8.365632e+06 1.999465e+03 1.784795e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757488e+42 1.685350e+43 1.220722e+46 0.000000e+00 
8.365632e+06 1.999464e+03 1.784791e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757489e+42 1.685350e+43 1.266246e+46 0.000000e+00 
8.365632e+06 1.999464e+03 1.784786e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757489e+42 1.685350e+43 1.311991e+46 0.000000e+00 
8.365633e+06 1.999464e+03 1.784782e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757489e+42 1.685350e+43 1.348729e+46 0.000000e+00 
8.365633e+06 1.999464e+03 1.784778e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757489e+42 1.685350e+43 1.391093e+46 0.000000e+00 
8.365633e+06 1.999464e+03 1.784774e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757489e+42 1.685350e+43 1.433764e+46 0.000000e+00 
8.365634e+06 1.999464e+03 1.784770e+50 5.319217e+50 4.268239e+49 4.163087e+49 4.854785e+41 7.757489e+42 1.685350e+43 1.473198e+46 0.000000e+00 
