integration of cell [1]
time C O Mg Si CO C2 c_grain si_grain 
2.684083e+06 1.606370e+09 1.474367e+10 7.108464e+08 1.288889e+09 6.897151e+04 3.536867e+03 0.000000e+00 0.000000e+00 
2.686544e+06 1.599345e+09 1.440057e+10 7.077726e+08 1.283316e+09 1.400428e+05 7.299666e+03 0.000000e+00 0.000000e+00 
2.689064e+06 1.592217e+09 1.406459e+10 7.046535e+08 1.277660e+09 2.114849e+05 1.122262e+04 0.000000e+00 0.000000e+00 
2.691643e+06 1.584987e+09 1.373565e+10 7.014894e+08 1.271923e+09 2.832672e+05 1.530872e+04 0.000000e+00 0.000000e+00 
2.694280e+06 1.577660e+09 1.341393e+10 6.982832e+08 1.266110e+09 3.553055e+05 1.955752e+04 0.000000e+00 0.000000e+00 
2.696979e+06 1.570233e+09 1.309906e+10 6.950323e+08 1.260215e+09 4.276344e+05 2.397555e+04 0.000000e+00 0.000000e+00 
2.699741e+06 1.562702e+09 1.279086e+10 6.917364e+08 1.254239e+09 5.002431e+05 2.856679e+04 0.000000e+00 0.000000e+00 
2.702565e+06 1.555076e+09 1.248947e+10 6.883982e+08 1.248186e+09 5.730502e+05 3.333048e+04 0.000000e+00 0.000000e+00 
2.705455e+06 1.547347e+09 1.219453e+10 6.850150e+08 1.242052e+09 6.460915e+05 3.827355e+04 0.000000e+00 0.000000e+00 
2.708413e+06 1.539516e+09 1.190587e+10 6.815864e+08 1.235836e+09 7.193553e+05 4.339993e+04 0.000000e+00 0.000000e+00 
2.711439e+06 1.531587e+09 1.162361e+10 6.781154e+08 1.229542e+09 7.927582e+05 4.870819e+04 0.000000e+00 0.000000e+00 
2.714535e+06 1.523556e+09 1.134742e+10 6.745991e+08 1.223166e+09 8.663349e+05 5.420551e+04 0.000000e+00 0.000000e+00 
2.717704e+06 1.515422e+09 1.107714e+10 6.710372e+08 1.216708e+09 9.400721e+05 5.989568e+04 0.000000e+00 0.000000e+00 
2.720945e+06 1.507190e+09 1.081287e+10 6.674327e+08 1.210172e+09 1.013884e+06 6.577644e+04 0.000000e+00 0.000000e+00 
2.724263e+06 1.498856e+09 1.055431e+10 6.637830e+08 1.203555e+09 1.087804e+06 7.185517e+04 0.000000e+00 0.000000e+00 
2.727660e+06 1.490418e+09 1.030130e+10 6.600875e+08 1.196854e+09 1.161816e+06 7.813541e+04 0.000000e+00 0.000000e+00 
2.731134e+06 1.481883e+09 1.005395e+10 6.563495e+08 1.190077e+09 1.235834e+06 8.461396e+04 0.000000e+00 0.000000e+00 
2.734691e+06 1.473246e+09 9.811948e+09 6.525663e+08 1.183217e+09 1.309887e+06 9.129834e+04 0.000000e+00 0.000000e+00 
2.738332e+06 1.464506e+09 9.575173e+09 6.487374e+08 1.176275e+09 1.383959e+06 9.819172e+04 0.000000e+00 0.000000e+00 
2.742057e+06 1.455669e+09 9.343715e+09 6.448664e+08 1.169256e+09 1.457961e+06 1.052898e+05 0.000000e+00 0.000000e+00 
2.745871e+06 1.446731e+09 9.117289e+09 6.409503e+08 1.162155e+09 1.531921e+06 1.126003e+05 0.000000e+00 0.000000e+00 
2.749776e+06 1.437689e+09 8.895772e+09 6.369889e+08 1.154973e+09 1.605821e+06 1.201257e+05 0.000000e+00 0.000000e+00 
2.753771e+06 1.428553e+09 8.679252e+09 6.329858e+08 1.147714e+09 1.679569e+06 1.278608e+05 0.000000e+00 0.000000e+00 
2.757862e+06 1.419317e+09 8.467461e+09 6.289381e+08 1.140375e+09 1.753192e+06 1.358129e+05 0.000000e+00 0.000000e+00 
2.762051e+06 1.409978e+09 8.260283e+09 6.248456e+08 1.132954e+09 1.826670e+06 1.439843e+05 0.000000e+00 0.000000e+00 
2.766338e+06 1.400546e+09 8.057801e+09 6.207120e+08 1.125460e+09 1.899910e+06 1.523682e+05 0.000000e+00 0.000000e+00 
2.770728e+06 1.391015e+09 7.859763e+09 6.165344e+08 1.117885e+09 1.972937e+06 1.609719e+05 0.000000e+00 0.000000e+00 
2.775225e+06 1.381384e+09 7.666060e+09 6.123128e+08 1.110230e+09 2.045728e+06 1.697970e+05 0.000000e+00 0.000000e+00 
2.779827e+06 1.371662e+09 7.476769e+09 6.080509e+08 1.102503e+09 2.118191e+06 1.788352e+05 0.000000e+00 0.000000e+00 
2.784540e+06 1.361843e+09 7.291655e+09 6.037460e+08 1.094697e+09 2.190347e+06 1.880936e+05 0.000000e+00 0.000000e+00 
2.789368e+06 1.351926e+09 7.110615e+09 5.993979e+08 1.086813e+09 2.262174e+06 1.975728e+05 0.000000e+00 0.000000e+00 
2.794309e+06 1.341920e+09 6.933719e+09 5.950107e+08 1.078859e+09 2.333576e+06 2.072632e+05 0.000000e+00 0.000000e+00 
2.799371e+06 1.331820e+09 6.760748e+09 5.905815e+08 1.070828e+09 2.404575e+06 2.171714e+05 0.000000e+00 0.000000e+00 
2.804557e+06 1.321624e+09 6.591604e+09 5.861102e+08 1.062720e+09 2.475145e+06 2.272972e+05 0.000000e+00 0.000000e+00 
2.809866e+06 1.311344e+09 6.426354e+09 5.816012e+08 1.054545e+09 2.545192e+06 2.376290e+05 0.000000e+00 0.000000e+00 
2.815305e+06 1.300971e+09 6.264791e+09 5.770514e+08 1.046295e+09 2.614735e+06 2.481731e+05 0.000000e+00 0.000000e+00 
2.820879e+06 1.290507e+09 6.106825e+09 5.724610e+08 1.037972e+09 2.683747e+06 2.589282e+05 0.000000e+00 0.000000e+00 
2.826585e+06 1.279961e+09 5.952515e+09 5.678344e+08 1.029583e+09 2.752134e+06 2.698809e+05 0.000000e+00 0.000000e+00 
2.832433e+06 1.269326e+09 5.801669e+09 5.631686e+08 1.021123e+09 2.819913e+06 2.810368e+05 0.000000e+00 0.000000e+00 
2.838426e+06 1.258604e+09 5.654200e+09 5.584636e+08 1.012592e+09 2.887057e+06 2.923935e+05 0.000000e+00 0.000000e+00 
2.844562e+06 1.247804e+09 5.510166e+09 5.537242e+08 1.003999e+09 2.953472e+06 3.039356e+05 0.000000e+00 0.000000e+00 
2.850852e+06 1.236919e+09 5.369384e+09 5.489474e+08 9.953379e+08 3.019174e+06 3.156681e+05 0.000000e+00 0.000000e+00 
2.857299e+06 1.225951e+09 5.231775e+09 5.441333e+08 9.866089e+08 3.084133e+06 3.275870e+05 0.000000e+00 0.000000e+00 
2.863902e+06 1.214910e+09 5.097389e+09 5.392866e+08 9.778211e+08 3.148259e+06 3.396752e+05 0.000000e+00 0.000000e+00 
2.870670e+06 1.203789e+09 4.966058e+09 5.344045e+08 9.689690e+08 3.211565e+06 3.519365e+05 0.000000e+00 0.000000e+00 
2.877609e+06 1.192588e+09 4.837705e+09 5.294870e+08 9.600527e+08 3.274022e+06 3.643658e+05 0.000000e+00 0.000000e+00 
2.884718e+06 1.181320e+09 4.712377e+09 5.245392e+08 9.510815e+08 3.335540e+06 3.769436e+05 0.000000e+00 0.000000e+00 
2.892006e+06 1.169977e+09 4.589917e+09 5.195580e+08 9.420497e+08 3.396131e+06 3.896729e+05 0.000000e+00 0.000000e+00 
2.899480e+06 1.158560e+09 4.470251e+09 5.145437e+08 9.329579e+08 3.455765e+06 4.025469e+05 0.000000e+00 0.000000e+00 
2.907137e+06 1.147080e+09 4.353425e+09 5.095014e+08 9.238153e+08 3.514357e+06 4.155442e+05 0.000000e+00 0.000000e+00 
2.914990e+06 1.135531e+09 4.239288e+09 5.044280e+08 9.146164e+08 3.571915e+06 4.286665e+05 0.000000e+00 0.000000e+00 
2.923044e+06 1.123913e+09 4.127774e+09 4.993239e+08 9.053617e+08 3.628411e+06 4.419052e+05 0.000000e+00 0.000000e+00 
2.931298e+06 1.112238e+09 4.018922e+09 4.941942e+08 8.960607e+08 3.683761e+06 4.552370e+05 0.000000e+00 0.000000e+00 
2.939765e+06 1.100500e+09 3.912593e+09 4.890359e+08 8.867079e+08 3.737974e+06 4.686622e+05 0.000000e+00 0.000000e+00 
2.948450e+06 1.088699e+09 3.808723e+09 4.838494e+08 8.773037e+08 3.791019e+06 4.821707e+05 0.000000e+00 0.000000e+00 
2.957354e+06 1.076847e+09 3.707349e+09 4.786399e+08 8.678581e+08 3.842820e+06 4.957368e+05 0.000000e+00 0.000000e+00 
2.966488e+06 1.064937e+09 3.608339e+09 4.734045e+08 8.583653e+08 3.893381e+06 5.093596e+05 0.000000e+00 0.000000e+00 
2.975861e+06 1.052971e+09 3.511635e+09 4.681434e+08 8.488259e+08 3.942674e+06 5.230270e+05 0.000000e+00 0.000000e+00 
2.985472e+06 1.040961e+09 3.417268e+09 4.628620e+08 8.392500e+08 3.990626e+06 5.367114e+05 0.000000e+00 0.000000e+00 
2.995334e+06 1.028899e+09 3.325117e+09 4.575574e+08 8.296317e+08 4.037240e+06 5.504103e+05 0.000000e+00 0.000000e+00 
3.005457e+06 1.016786e+09 3.235124e+09 4.522298e+08 8.199719e+08 4.082488e+06 5.641099e+05 0.000000e+00 0.000000e+00 
3.015839e+06 1.004636e+09 3.147320e+09 4.468848e+08 8.102804e+08 4.126303e+06 5.777805e+05 0.000000e+00 0.000000e+00 
3.026496e+06 9.924401e+08 3.061591e+09 4.415192e+08 8.005516e+08 4.168686e+06 5.914181e+05 0.000000e+00 0.000000e+00 
3.037438e+06 9.802005e+08 2.977882e+09 4.361333e+08 7.907862e+08 4.209610e+06 6.050068e+05 0.000000e+00 0.000000e+00 
3.048663e+06 9.679296e+08 2.896220e+09 4.307329e+08 7.809942e+08 4.249013e+06 6.185154e+05 0.000000e+00 0.000000e+00 
3.060189e+06 9.556200e+08 2.816499e+09 4.253146e+08 7.711700e+08 4.286896e+06 6.319379e+05 0.000000e+00 0.000000e+00 
3.072026e+06 9.432728e+08 2.738667e+09 4.198789e+08 7.613140e+08 4.323231e+06 6.452567e+05 0.000000e+00 0.000000e+00 
3.084174e+06 9.309007e+08 2.662749e+09 4.144313e+08 7.514366e+08 4.357964e+06 6.584388e+05 0.000000e+00 0.000000e+00 
3.096652e+06 9.184964e+08 2.588644e+09 4.089687e+08 7.415319e+08 4.391091e+06 6.714764e+05 0.000000e+00 0.000000e+00 
3.109470e+06 9.060606e+08 2.516304e+09 4.034913e+08 7.316004e+08 4.422589e+06 6.843501e+05 0.000000e+00 0.000000e+00 
3.122630e+06 8.936064e+08 2.445752e+09 3.980047e+08 7.216523e+08 4.452406e+06 6.970255e+05 0.000000e+00 0.000000e+00 
3.136152e+06 8.811261e+08 2.376892e+09 3.925058e+08 7.116817e+08 4.480540e+06 7.094927e+05 0.000000e+00 0.000000e+00 
3.150048e+06 8.686206e+08 2.309679e+09 3.869947e+08 7.016891e+08 4.506966e+06 7.217307e+05 0.000000e+00 0.000000e+00 
3.164320e+06 8.561026e+08 2.244134e+09 3.814770e+08 6.916847e+08 4.531641e+06 7.337037e+05 0.000000e+00 0.000000e+00 
